name,funding_total_usd,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,main_category,funding_total_category
StackUp,500000.0,USA,Denver,1,2014-11-11,2014-11-11,2013,1,EdTech,0
Clodico,100000.0,USA,Oak Ridge,1,2013-06-01,2013-06-01,2012,1,Software,0
Foundersuite,,USA,San Francisco,1,2015-06-01,2015-06-01,2012,1,Enterprise Software,3
BLOVES,34392386.0,CHN,Shenzhen,3,2010-04-01,2014-01-01,2012,1,Manufacturing,1
Stratio,2195000.0,USA,San Jose,4,2013-01-09,2015-02-02,2013,1,Hardware + Software,1
Artisoft,,USA,Tucson,1,1990-10-15,1990-10-15,1982,2,Computers,3
Sockeye Networks,12000000.0,USA,Waltham,1,2002-11-15,2002-11-15,2012,2,Internet,1
Meriton Networks,54000000.0,CAN,Ottawa,1,2005-06-27,2005-06-27,2000,2,Web Hosting,1
netTALK,9250000.0,USA,Miami,5,2009-01-30,2014-09-17,2008,1,Hardware + Software,1
Beat Freak Music Group,,USA,Brick,1,2011-09-29,2011-09-29,2010,1,Entertainment,3
Wikidot,,POL,Torun Polnocny,1,2007-01-01,2007-01-01,2007,1,Collaboration,3
Colomob Network and Technology,1647446.0,USA,San Francisco,1,2014-01-01,2014-01-01,2012,1,Games,1
TopTenREVIEWS,7500001.0,USA,Utah,2,2008-07-03,2010-01-11,2003,1,Curated Web,1
Crux Biomedical,8000000.0,USA,Menlo Park,1,2009-01-01,2009-01-01,2012,2,Biotechnology,1
Displair,4980000.0,RUS,Astrakhan,3,2012-01-01,2012-06-29,2010,1,Hardware + Software,1
Prime Financial Services,,USA,Pampa,1,2013-09-11,2013-09-11,2004,1,Finance,3
ShuttleWizard.com,300000.0,USA,San Francisco,1,2013-03-01,2013-03-01,2013,0,Online Scheduling,0
Remind,59500000.0,USA,San Francisco,4,2012-01-01,2014-09-30,2011,1,All Students,1
Filter Foundry,750000.0,USA,Los Angeles,1,2011-04-01,2011-04-01,2010,1,Advertising,0
DAVGAR Holdings Group,,USA,San Francisco,1,2014-06-12,2014-06-12,1969,0,Software,3
Libox,2000000.0,ISR,Tel Aviv,2,2008-04-23,2010-02-01,2008,0,Curated Web,1
MARIPOSA BIOTECHNOLOGY,2427823.0,USA,Irvine,1,2013-06-18,2013-06-18,2007,0,Biotechnology,1
Ikonisys,35205000.0,USA,New Haven,3,2007-10-17,2012-08-03,1999,1,Biotechnology,1
AllizHealth,350000.0,IND,Pune,1,2013-06-02,2013-06-02,2013,1,Health and Wellness,0
CIS International,,USA,Gardena,1,2014-10-18,2014-10-18,1991,1,Transportation,3
AltSchool,133000000.0,USA,San Francisco,3,2013-08-01,2015-05-04,2013,1,Education,2
Betahaus,125000.0,DEU,Kreuzberg,1,2012-04-15,2012-04-15,2010,1,Coworking,0
